Domain,QuestionType,Title,ContextText,Explanation,Difficulty,Status,Tags,QuestionId,System,Regulation,CorrectLevel,OptionA,OptionB,OptionC,OptionD,CorrectOption
Classification,MultipleChoice,Company Newsletter Draft,Monthly internal newsletter about upcoming team events and office updates.,Internal communications containing no personal data are typically classified as Internal.,easy,Active,,d01,,GDPR,,,,,,
Classification,MultipleChoice,Public Press Release,"Official press release about new product launch, approved for distribution.",Documents explicitly approved for public distribution should be classified as Public.,easy,Active,,d02,,GDPR,,,,,,
Classification,MultipleChoice,Employee Salary Spreadsheet,"Spreadsheet containing names, positions, and annual salaries for all department staff.",Salary data combined with employee names is highly sensitive PII requiring the strictest classification.,easy,Active,,d03,,GDPR,,,,,,
Classification,MultipleChoice,Product Roadmap Q3,Strategic product roadmap with competitive analysis and unreleased feature plans.,Strategic business documents with competitive intelligence are Confidential — disclosure could harm the company.,easy,Active,,d04,,CCPA,,,,,,
Classification,MultipleChoice,Open Source License File,Standard MIT license text for an open-source library used in the project.,Open-source licenses are inherently public documents.,easy,Active,,d05,,GDPR,,,,,,
Classification,MultipleChoice,Vendor NDA Agreement,Non-disclosure agreement template with vendor contact details and terms.,NDAs contain business-sensitive terms and should be classified as Confidential.,easy,Active,,d06,,GDPR,,,,,,
Classification,MultipleChoice,Office Floor Plan,"Building layout showing office seating, exits, and common areas.",Office layouts are internal operational documents — not public but not highly sensitive.,easy,Active,,d07,,GDPR,,,,,,
Classification,MultipleChoice,Customer Health Records,Medical screening results for insurance applicants including diagnoses and medications.,Health records are special category data under GDPR Article 9 and require the highest protection.,medium,Active,,d08,,GDPR,,,,,,
Classification,MultipleChoice,Database Backup Script,Automated backup script containing database connection strings and credentials.,Scripts with embedded credentials must be Highly Restricted — leaked credentials can lead to data breaches.,medium,Active,,d09,,CCPA,,,,,,
Classification,MultipleChoice,Marketing Campaign Materials,Draft social media posts and banner ads for upcoming campaign.,Pre-release marketing materials are Internal until approved for publication.,medium,Active,,d10,,GDPR,,,,,,
Classification,MultipleChoice,Board Meeting Minutes,Minutes from quarterly board meeting discussing financial performance and M&A targets.,Board minutes with M&A discussions are material non-public information — Highly Restricted.,medium,Active,,d11,,CCPA,,,,,,
Classification,MultipleChoice,Student Enrollment Records,"List of enrolled students with grades, addresses, and parent contact information.",Student records are protected under FERPA and must be Highly Restricted.,medium,Active,,d12,,FERPA,,,,,,
Classification,MultipleChoice,API Documentation,Public API reference docs for third-party developer integration.,Documentation intended for external developers is public by design.,medium,Active,,d13,,GDPR,,,,,,
Classification,MultipleChoice,Employee Performance Review,Annual performance evaluation with manager comments and improvement plans.,Performance reviews contain personal opinions and career-impacting data — Confidential.,medium,Active,,d14,,GDPR,,,,,,
Classification,MultipleChoice,Incident Response Playbook,Internal security procedures for handling data breaches and cyber incidents.,Security playbooks reveal defensive capabilities — classifying them protects your response strategy.,hard,Active,,d15,,GDPR,,,,,,
Classification,MultipleChoice,Customer SSN Export,CSV export containing customer names and Social Security Numbers for tax reporting.,SSNs are the most sensitive PII — always Highly Restricted with encryption required.,hard,Active,,d16,,CCPA,,,,,,
Classification,MultipleChoice,Anonymized Survey Results,Aggregated employee satisfaction survey with no identifying information.,"Properly anonymized data has lower classification, but keep Internal since it reveals organizational sentiment.",hard,Active,,d17,,GDPR,,,,,,
Classification,MultipleChoice,Pseudonymized Research Data,Clinical trial data with patient IDs replaced by random codes. Key file stored separately.,Pseudonymized data is still personal data under GDPR if re-identification is possible — Confidential minimum.,hard,Active,,d18,,GDPR,,,,,,
Classification,MultipleChoice,GDPR Subject Access Request,Compiled response to a data subject access request including all personal data held.,SAR responses consolidate all personal data about an individual — they require maximum protection.,hard,Active,,d19,,GDPR,,,,,,
Classification,MultipleChoice,Company Holiday Schedule,Official company-wide holiday and office closure calendar for the year.,"While seemingly simple, holiday schedules posted externally are Public. The trick is recognizing not everything from email is sensitive.",hard,Active,,d20,,GDPR,,,,,,
Handling,MultipleChoice,Unencrypted USB Found,A USB drive labeled 'Client Data' is found in the parking lot. It contains unencrypted spreadsheets.,Unknown USB devices should never be plugged into workstations. IT Security can safely analyze them in an isolated environment.,easy,Active,,h01,,,,Plug it into your workstation to check contents,Hand it to IT Security for forensic analysis,Place it in lost and found,Format the drive and reuse it,b
Handling,MultipleChoice,Email Forwarding Request,A colleague asks you to forward a confidential contract to their personal Gmail for 'weekend review'.,Confidential data should never leave corporate systems. VPN access allows secure remote work without data exfiltration risk.,easy,Active,,h02,,,,Forward it — they need to work,Decline and suggest using the company VPN instead,Forward it but password-protect the attachment,Report the request to your manager,b
Handling,MultipleChoice,Printer Left Unattended,You notice confidential HR documents sitting in the shared printer tray. No one is nearby.,Collect abandoned confidential printouts and return to the owning department. Don't read contents unnecessarily or destroy others' documents.,easy,Active,,h03,,,,Leave them — someone will collect them,Read them to identify the owner and deliver personally,Collect them and bring to HR directly,Shred them immediately,c
Handling,MultipleChoice,Cloud Storage Sync,You discover that a team member has been syncing the entire 'Confidential' project folder to their personal Dropbox.,Unauthorized data transfers to personal cloud storage is a security incident that must be reported to IT Security for proper remediation.,medium,Active,,h04,,,,Ask them to stop and delete the synced copy,Report to IT Security immediately,Ignore it — many people do this,Help them set up the approved enterprise cloud storage instead,b
Handling,MultipleChoice,Expired Access Rights,A former contractor still has active access to the customer database. They left 3 months ago.,Revoke access immediately and audit logs for unauthorized activity. Stale accounts are a top attack vector.,medium,Active,,h05,,,,Leave it — they might come back,Revoke access and audit recent activity logs,Send the contractor an email asking them not to use it,Just change the database password,b
Handling,MultipleChoice,Backup Tape Disposal,Old backup tapes from 2019 need to be disposed of. They contain customer PII.,Media containing PII must be securely destroyed with documented chain of custody. Simple overwriting may not be sufficient for tapes.,medium,Active,,h06,,,,Throw them in the regular trash,"Degauss and physically destroy, then document the destruction",Store them in a closet indefinitely,Overwrite them with new backups,b
Handling,MultipleChoice,Vendor Data Sharing,A vendor requests raw customer analytics data to 'improve their integration'. No DPA exists.,Never share personal data with third parties without a Data Processing Agreement. This is a legal requirement under GDPR Article 28.,medium,Active,,h07,,,,Share the data — they're a trusted vendor,Share anonymized/aggregated data only,Refuse until a Data Processing Agreement is signed,Share a sample of 100 records as a compromise,c
Handling,MultipleChoice,Database Migration,"During a database migration, you need to transfer customer records including EU citizen data to a US-based server.",Cross-border transfers of EU personal data require appropriate safeguards like SCCs under GDPR Chapter V.,hard,Active,,h08,,,,Proceed — it's just a migration,Ensure Standard Contractual Clauses are in place first,Only transfer non-EU customer data,Encrypt the data and proceed without legal review,b
Handling,MultipleChoice,Data Breach Notification,You discover that 500 customer email addresses were accidentally exposed in a public API response for 48 hours.,"Under GDPR Article 33, breaches must be reported to the supervisory authority within 72 hours. Individual notification depends on risk assessment.",hard,Active,,h09,,,,Fix the API and move on,Notify the DPA within 72 hours and assess individual notification needs,Wait to see if anyone noticed,Notify affected customers only,b
Handling,MultipleChoice,Right to Erasure Request,"A customer requests deletion of all their data, but you have a legal obligation to retain financial records for 7 years.","The right to erasure is not absolute. Legal obligations can override it, but you must delete everything not covered by an exemption.",hard,Active,,h10,,,,Delete everything — customer rights come first,"Delete what you can, retain legally required records with documented justification",Refuse the entire request citing legal obligation,Anonymize all records instead of deleting,b
Handling,MultipleChoice,Screen Sharing in Meeting,"During a video call with external partners, you need to share your screen. Your desktop has confidential documents open.","Always share specific application windows, not full desktop. Close or minimize sensitive content before any screen sharing.",easy,Active,,h11,,,,Share full desktop — it's faster,"Close all confidential documents, then share only the relevant application window",Share desktop but minimize sensitive windows,Cancel the screen share entirely,b
Handling,MultipleChoice,Data Retention Policy,Your team has been storing customer support tickets indefinitely. Many contain personal details.,Data minimization requires retention limits proportional to the purpose. Anonymization preserves analytical value while meeting privacy obligations.,hard,Active,,h12,,,,Keep everything — it might be useful,"Implement a retention policy: anonymize after 2 years, delete after 5",Delete all tickets older than 1 month,Move old tickets to a cheaper storage tier,b
